,name,features,mse_tot,mse_first,kernel,degree,inv_generalization,path
11,2020-12-09 03_03_36,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",59.33971966863413,46.60471873756637,rbf,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_03_36
83,2020-12-09 03_15_33,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",59.33971966863413,46.60471873756637,rbf,5,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_15_33
59,2020-12-09 03_11_37,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",59.33971966863413,46.60471873756637,rbf,4,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_11_37
35,2020-12-09 03_07_38,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'taux_occupation_sae', 'retail_and_recreation_percent_change_from_baseline']",59.33971966863413,46.60471873756637,rbf,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_07_38
113,2020-12-09 03_21_00,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'retail_and_recreation_percent_change_from_baseline']",59.84008976801384,67.71079632258711,poly,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_21_00
303,2020-12-09 04_40_45,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",61.788594887072314,71.18827960928682,linear,2,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_40_45
327,2020-12-09 04_56_26,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",61.788594887072314,71.18827960928682,linear,3,200.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_56_26
291,2020-12-09 04_34_02,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",61.80337811740836,71.19189245753964,linear,2,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_34_02
315,2020-12-09 04_49_51,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie']",61.80337811740836,71.19189245753964,linear,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 04_49_51
79,2020-12-09 03_15_01,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",64.84569134323002,48.744070794743486,rbf,5,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_15_01
31,2020-12-09 03_07_05,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_taux_occupation_past_week', 'tavg', 'tmin', 'tmax', 'pres', 'confin_0', 'confin_1', 'confin_2', 'couvrefeu', 'ferie', 'retail_and_recreation_percent_change_from_baseline']",64.84569134323002,48.744070794743486,rbf,3,100.0,/content/drive/My Drive/Dossier partagé avec Iheb BELGACEM/BCG_Hackathon/Support_Vector_Regression/2020-12-09 03_07_05
