,name,features,target,street,mse_tot,mse_first,min_samples_leaf,path
25,2020-12-10 15_23_41,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,convention,18060.544865710854,8348.16283031926,8,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_41
11,2020-12-10 15_23_14,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,convention,18429.557051354474,8894.634542871187,6,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_14
18,2020-12-10 15_23_28,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,convention,18470.545869771493,8899.669261098257,7,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_28
26,2020-12-10 15_23_42,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,convention,18659.47217518177,8154.074178222373,8,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_42
32,2020-12-10 15_23_53,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,convention,19163.17216353905,8136.142071157416,9,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_53
5,2020-12-10 15_23_02,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,convention,19275.963781339917,8957.35218237711,5,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_02
33,2020-12-10 15_23_55,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,convention,19709.960538347914,9001.935034184979,9,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_55
40,2020-12-10 15_24_07,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'tmin', 'tmax', 'taux_occupation_sae']",Débit horaire,convention,20891.200028353705,8991.515986981625,10,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_24_07
28,2020-12-10 15_23_46,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,convention,21177.903392442986,6202.153924017909,9,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_46
39,2020-12-10 15_24_06,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week', 'taux_occupation_sae']",Débit horaire,convention,21792.192528691055,8147.156936029415,10,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_24_06
35,2020-12-10 15_23_59,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,convention,21833.427217808385,6176.175244391092,10,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_59
21,2020-12-10 15_23_34,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,convention,21874.265405095426,6162.981636003436,8,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_34
7,2020-12-10 15_23_07,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,convention,21899.48572586259,6782.6542971714625,6,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_07
0,2020-12-10 15_22_53,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,convention,21935.309913531975,6398.45896951913,5,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_22_53
14,2020-12-10 15_23_20,"['weekday', 'weekofyear', 'month', 'year', 'time', 'mean_debit_horaire_past_week']",Débit horaire,convention,21986.920433038853,6425.155780830158,7,/content/drive/My Drive/Hackathon_BCG_final/convention/Débit horaire/2020-12-10 15_23_20
